Stock_1,AAPL,AKAM,AMGN,APD,BAC,BKNG,CARR,CAT,CBOE,CCK,CEG,CNH,CRWD,EA,EME,ES,FBIN,GOOG,HUBB,HWM,KDP,KEYS,LRCX,MCD,MCK,MRK,NDAQ,NOC,NVDA,PHM,SBUX,TT,WELL
EA,0.001096103,0.001268091,0.000854768,0.001435683,0.001232659,0.001040588,0.000989296,0.001076112,0.001135326,0.001352806,0.002197963,0.001101786,0.001900954,0.006597792,0.001496845,0.00145188,0.000984177,0.00051947,0.00115596,0.002128032,0.000837928,0.001257388,0.002200385,0.000979079,0.001434884,0.000987887,0.001475968,0.000620349,0.00152265,0.001360275,0.0014048,0.000746652,0.001405866
EME,0.004407407,0.003575521,0.001427029,0.002856152,0.004409207,0.003290473,0.005614696,0.006041683,-0.000621523,0.001058179,0.011476061,0.005305519,0.007806268,0.001496845,0.014127969,0.001816435,0.005545229,0.004172029,0.00612575,0.006960705,-0.000415691,0.006014769,0.009055456,-3.81E-05,-0.000111073,0.001365908,0.003861927,0.000766311,0.008753882,0.002213837,0.004306447,0.004299847,0.000657231
ES,0.002057227,0.002729573,0.002275168,0.001738852,0.001406416,0.001403687,0.00189822,0.001309701,0.001282505,0.001821838,0.00118009,0.001802398,0.001066069,0.00145188,0.001816435,0.006228509,0.00229216,-0.000179587,0.001175785,0.001314451,0.001770441,0.00183485,0.001737418,0.001183025,0.001659942,0.001964514,0.001665471,0.000688006,0.000882686,0.001934102,0.001953665,0.0013259,0.002088077
FBIN,0.006694344,0.00700661,0.003164257,0.005557961,0.00498711,0.004233542,0.00759212,0.006612787,-0.001162768,0.004251471,0.004884571,0.008491999,0.0056156,0.000984177,0.005545229,0.00229216,0.015249995,0.003995458,0.006922492,0.003796924,0.002318463,0.008082743,0.008440017,0.000825025,-0.000612386,0.004725715,0.004168478,0.001110216,0.004735274,0.009497943,0.006724605,0.004949471,0.000411391
GOOG,0.00486441,0.00325146,0.001302906,0.0026444,0.003056327,0.003221828,0.002599534,0.004323005,-0.000924917,0.000567924,0.00598954,0.003816878,0.005772756,0.00051947,0.004172029,-0.000179587,0.003995458,0.00871473,0.003491742,0.003763573,0.000633221,0.005043605,0.007439373,0.00029207,0.000187573,0.000987488,0.002400208,-0.000407953,0.005812195,0.002281874,0.002983638,0.002978994,0.000892646
HUBB,0.004335569,0.004013456,0.001899835,0.003376718,0.003990996,0.003584969,0.004790583,0.006203975,-0.001021732,0.002057344,0.006641013,0.005083594,0.005934503,0.00115596,0.00612575,0.001175785,0.006922492,0.003491742,0.008237669,0.00410833,0.000671451,0.006393904,0.008305745,0.000230273,0.000465375,0.001903233,0.00349203,0.000161296,0.006866979,0.004078046,0.004219186,0.004383748,4.20E-05
HWM,0.004319395,0.004041602,0.000830366,0.002900686,0.003943834,0.003623951,0.005032049,0.004452205,0.000158819,0.002045125,0.008659001,0.004087191,0.007069455,0.002128032,0.006960705,0.001314451,0.003796924,0.003763573,0.00410833,0.009620646,0.000672704,0.00537067,0.007874543,0.000813771,0.001492088,0.001142226,0.003746755,0.001091956,0.007211348,0.001135992,0.003866626,0.004547335,0.001926272
KDP,0.001272359,0.001439062,0.001823599,0.001386455,0.000671146,0.001048262,0.00037855,0.000482369,0.000628468,0.00137845,-0.000397165,0.001313162,0.000106198,0.000837928,-0.000415691,0.001770441,0.002318463,0.000633221,0.000671451,0.000672704,0.006429811,0.000836482,0.000643422,0.00152461,0.001090215,0.001818507,0.001203688,0.000644173,4.69E-05,0.001507522,0.001943504,0.000680512,0.001119599
KEYS,0.006067582,0.005121962,0.002551087,0.004100025,0.005262336,0.004232008,0.005672454,0.006404126,-0.000816495,0.0026876,0.007564847,0.006770037,0.007162636,0.001257388,0.006014769,0.00183485,0.008082743,0.005043605,0.006393904,0.00537067,0.000836482,0.010205889,0.010361078,0.000305845,-0.000157809,0.002780909,0.004013194,0.000266251,0.007398654,0.004928278,0.005746938,0.00480116,0.000753389
LRCX,0.008367031,0.006431735,0.003311234,0.004257676,0.006463067,0.005555898,0.006417461,0.009123766,-0.001746363,0.002995056,0.012761488,0.007479197,0.010418502,0.002200385,0.009055456,0.001737418,0.008440017,0.007439373,0.008305745,0.007874543,0.000643422,0.010361078,0.020544025,-0.000119675,-0.000109123,0.002875027,0.005309611,-0.000479567,0.012892433,0.004239246,0.00733054,0.006172451,0.001125779
MCD,0.000872269,0.000982626,0.001274747,0.000856039,0.000495056,0.00108686,0.000424994,0.000215611,0.000859093,0.001219622,-0.000324491,0.000712833,-0.000430264,0.000979079,-3.81E-05,0.001183025,0.000825025,0.00029207,0.000230273,0.000813771,0.00152461,0.000305845,-0.000119675,0.002626961,0.001306669,0.001344304,0.00085633,0.000651321,-0.000636885,0.001152961,0.001129485,0.000658707,0.001226045
MCK,2.11E-05,0.00048976,0.001325177,0.001023291,0.000273369,0.000887078,6.18E-05,0.000243618,0.001584307,0.000956806,0.000541029,-0.000573083,0.000732325,0.001434884,-0.000111073,0.001659942,-0.000612386,0.000187573,0.000465375,0.001492088,0.001090215,-0.000157809,-0.000109123,0.001306669,0.00486,0.001316648,0.001013624,0.000998432,-0.000348119,-3.22E-05,0.000289794,0.000799352,0.002189468
MRK,0.002474204,0.003499857,0.004694677,0.003069809,0.001392169,0.001527686,0.002505189,0.001794949,0.00034948,0.002386077,0.000532412,0.002337557,0.001093941,0.000987887,0.001365908,0.001964514,0.004725715,0.000987488,0.001903233,0.001142226,0.001818507,0.002780909,0.002875027,0.001344304,0.001316648,0.008079824,0.0014829,0.001520569,0.00092683,0.003846358,0.00307073,0.001359604,0.001304268
NDAQ,0.003864401,0.003624972,0.001333037,0.003255528,0.003504657,0.003103285,0.00333554,0.003192126,0.000786514,0.002091156,0.005176269,0.003550637,0.003801699,0.001475968,0.003861927,0.001665471,0.004168478,0.002400208,0.00349203,0.003746755,0.001203688,0.004013194,0.005309611,0.00085633,0.001013624,0.0014829,0.004986978,0.000633208,0.004625467,0.002186947,0.003415422,0.003101246,0.001234076
NOC,0.000405502,0.000960389,0.001017797,0.000903398,-8.12E-05,0.000344206,0.000771952,0.000460683,0.001045358,0.00022327,0.000559948,0.000329324,0.000961974,0.000620349,0.000766311,0.000688006,0.001110216,-0.000407953,0.000161296,0.001091956,0.000644173,0.000266251,-0.000479567,0.000651321,0.000998432,0.001520569,0.000633208,0.006211289,-0.00026305,0.00027567,0.00090498,0.000991633,0.000722202
NVDA,0.006884352,0.004998528,0.001531632,0.003107581,0.004880527,0.004625354,0.005177417,0.006678976,-0.001141744,0.001889842,0.011857379,0.005737556,0.009756721,0.00152265,0.008753882,0.000882686,0.004735274,0.005812195,0.006866979,0.007211348,4.69E-05,0.007398654,0.012892433,-0.000636885,-0.000348119,0.00092683,0.004625467,-0.00026305,0.015658954,0.001185008,0.005012273,0.004976736,0.000681412
PHM,0.004016336,0.004657728,0.002601898,0.003920641,0.002829396,0.003129096,0.004870018,0.004017238,-0.000387104,0.002643507,0.001301058,0.005276856,0.001806532,0.001360275,0.002213837,0.001934102,0.009497943,0.002281874,0.004078046,0.001135992,0.001507522,0.004928278,0.004239246,0.001152961,-3.22E-05,0.003846358,0.002186947,0.00027567,0.001185008,0.011049622,0.004580016,0.003419882,0.000699361
SBUX,0.005684875,0.005530095,0.002990052,0.004141834,0.00434753,0.003525657,0.004584049,0.005007471,-0.000669213,0.00361225,0.006366158,0.005962849,0.00445557,0.0014048,0.004306447,0.001953665,0.006724605,0.002983638,0.004219186,0.003866626,0.001943504,0.005746938,0.00733054,0.001129485,0.000289794,0.00307073,0.003415422,0.00090498,0.005012273,0.004580016,0.010327515,0.002820522,0.000976696
TT,0.003933894,0.003492532,0.001415866,0.002745549,0.003111638,0.003468049,0.005398115,0.004250632,1.47E-05,0.001939539,0.005900835,0.004146513,0.004884746,0.000746652,0.004299847,0.0013259,0.004949471,0.002978994,0.004383748,0.004547335,0.000680512,0.00480116,0.006172451,0.000658707,0.000799352,0.001359604,0.003101246,0.000991633,0.004976736,0.003419882,0.002820522,0.006984874,0.001075794
WELL,0.001285507,0.001337095,0.001638963,0.001356729,0.000990166,0.001255995,0.000149562,0.000447679,0.001536044,0.001288981,0.001273807,0.000265689,0.001030747,0.001405866,0.000657231,0.002088077,0.000411391,0.000892646,4.20E-05,0.001926272,0.001119599,0.000753389,0.001125779,0.001226045,0.002189468,0.001304268,0.001234076,0.000722202,0.000681412,0.000699361,0.000976696,0.001075794,0.003880256
