ticker,epochs_trained,train_r2,train_rmse,train_mae,train_dir_acc,val_r2,val_rmse,val_mae,val_dir_acc,test_r2,test_rmse,test_mae,test_dir_acc,final_train_loss,final_val_loss,best_val_loss,training_time_sec,latest_date,forecast_return
COO,16,0.17003048942209864,0.06686003482416857,0.04986686373741872,66.62850601030338,0.027929637024054155,0.07314386742421021,0.0586225317666172,50.917431192660544,-0.08991127458810921,0.08894450658547248,0.06886034993045662,49.54128440366973,0.16593894362449646,0.8356828689575195,0.6396162509918213,20.170116901397705,2026-01-16,5.0491214
COP,16,0.24252018680843346,0.10633571474116806,0.07019454259196543,67.20091585575273,-0.26632208477165875,0.06319909871186925,0.05225643825842726,49.76958525345622,-0.0946591122631848,0.06598665665758166,0.05372391756319032,49.31506849315068,0.16758444905281067,0.9601981043815613,0.422683984041214,16.89510202407837,2026-01-16,-0.15470982
KMX,16,0.2531132938486301,0.10358294420281883,0.0733140178328573,65.80756013745705,0.1381523951344058,0.08253981040159616,0.06713290677120044,61.92660550458715,-0.48732467662909396,0.16519164193924596,0.13799337484251226,49.31506849315068,0.14906644821166992,0.6663586497306824,0.5586692690849304,22.591064929962158,2026-01-16,-3.9625764
HUBS,35,0.9134309552102593,0.03962763287813233,0.03003890377770644,90.893470790378,-0.6381404779217041,0.14342684910521733,0.11000383433273499,56.42201834862385,-0.6041063580083543,0.1674238089360608,0.13647158108320864,48.858447488584474,0.1473836451768875,0.9056872725486755,0.8961660265922546,34.69483804702759,2026-01-16,3.4937859
C,21,0.561060437054903,0.06939767057604679,0.04224589162041423,83.05666857469949,-0.250786166330071,0.07358311817119978,0.057642911940283405,61.92660550458715,-0.34427854995510265,0.10980213010846518,0.09287904002284277,48.858447488584474,0.17447344958782196,0.7270255088806152,0.6566436290740967,26.64030122756958,2026-01-16,-4.987359
BK,22,0.8439709933797455,0.03135554988322179,0.024022272179266172,87.17801946193474,-0.3317742703591158,0.04865889159149289,0.03893313345198095,67.88990825688074,-0.7859709552339407,0.07901550591059214,0.06042125107866668,48.858447488584474,0.12931953370571136,0.6121400594711304,0.4934510886669159,22.145692110061646,2026-01-16,3.6231518
UBER,19,0.6732401817043414,0.07555283794681082,0.0591771859737468,81.23844731977819,-0.15453394846786717,0.11947756689897676,0.0977964446443233,67.4074074074074,-3.0700016477404626,0.12855595458197652,0.09543444761726716,48.529411764705884,0.13658243417739868,0.6400641202926636,0.5785330533981323,14.394188404083252,2026-01-16,13.572609
PWR,20,0.7738212627465131,0.04414720711015462,0.03333652179260359,88.14432989690721,0.10459105836733917,0.07992970816249619,0.06480272291635006,56.42201834862385,-0.5908768509240045,0.11885345325521654,0.09448270889345793,48.401826484018265,0.15133142471313477,0.9794260859489441,0.616081953048706,37.48715353012085,2026-01-16,-8.451664
TXN,26,0.869149385815903,0.024079400364799507,0.018418925492551072,89.00973096737263,-0.32076874809712663,0.07013621577405835,0.05735803274477129,58.71559633027523,-0.30321862888352036,0.12842944914893945,0.11012790949469475,48.401826484018265,0.13735930621623993,0.8308366537094116,0.774388313293457,26.6180739402771,2026-01-16,-5.962282
VEEV,16,0.25575838580370147,0.09087660093383676,0.0699223237421971,68.46021751574128,-0.14353793488650268,0.08431122706320841,0.0688206463382184,47.24770642201835,-0.11498186585364967,0.10506765545905153,0.07425206813380168,48.401826484018265,0.17010274529457092,0.7454929351806641,0.6066064238548279,16.79474687576294,2026-01-16,-5.458379
