ticker,latest_date,forecast_return,test_dir_acc,test_r2
MMM,2026-01-16,2.142036,62.10045662100456,0.2740277321964639
FTV,2026-01-16,0.18639565,62.019230769230774,-0.4383435384706045
BALL,2026-01-16,-9.417176,61.92660550458715,-1.38684487487006
EQT,2026-01-16,31.768608,61.92660550458715,-2.2502989852567987
CARR,2026-01-16,9.50178,61.73913043478261,-1.249376839176597
MS,2026-01-16,1.0799408,61.64383561643836,-0.34072282601925163
HPE,2026-01-16,-4.103136,61.64383561643836,0.042633009674381994
WDC,2026-01-16,1.7692089,61.46788990825688,-0.556475140695498
JCI,2026-01-16,-4.95888,61.46788990825688,0.11773705387081035
PNR,2026-01-16,-2.6760519,61.18721461187214,0.04658646981006953
FBIN,2026-01-16,7.3470592,61.18721461187214,-0.5968889805159296
UPS,2026-01-16,-8.817827,61.18721461187214,-0.8209785277430668
BBY,2026-01-16,-1.1603534,60.73059360730594,-0.2661951777093743
NVDA,2026-01-16,7.0406914,60.273972602739725,-0.3189742903558852
AKAM,2026-01-16,4.2221665,60.273972602739725,0.004192881259186709
CNH,2026-01-16,6.0757637,60.273972602739725,-0.104709185101594
CI,2026-01-16,-8.066135,60.273972602739725,-0.7201393372953617
HWM,2026-01-16,9.907473,60.0,-0.31816138773535263
MCD,2026-01-16,5.483043,59.817351598173516,-0.6201997188744535
MRK,2026-01-16,5.3002357,59.817351598173516,-0.15322277540061213
REGN,2026-01-16,-3.198117,59.817351598173516,0.07397889090883503
KEYS,2026-01-16,10.151255,59.817351598173516,-0.09842234437489261
BRK-B,2026-01-16,0.7249713,59.817351598173516,-0.17440133974522087
LNG,2026-01-16,1.8091321,59.3607305936073,-0.029924045232751828
J,2026-01-16,-2.2506058,59.3607305936073,0.035529154703636046
AMAT,2026-01-16,-3.452313,59.3607305936073,-0.2291933072745831
FANG,2026-01-16,-4.455799,59.174311926605505,-0.428847114327787
ANET,2026-01-16,-0.41170716,58.9041095890411,0.1708671257144907
BAC,2026-01-16,2.9898763,58.44748858447488,-0.23502913746614462
CAH,2026-01-16,1.4191747,58.44748858447488,-0.2556707902769517
EW,2026-01-16,-4.5310616,58.44748858447488,-2.0389708185605926
KO,2026-01-16,1.6437411,58.44748858447488,-0.06231270779381948
HON,2026-01-16,-1.2885034,58.44748858447488,-0.049481119205391666
KMI,2026-01-16,0.55304766,57.99086757990868,-0.1004814135515053
BG,2026-01-16,-0.8608997,57.99086757990868,-0.1766042331999682
AVTR,2026-01-16,-2.2597551,57.77777777777777,0.01853094954594947
WST,2026-01-16,1.1147976,57.534246575342465,-0.2739962792160122
AMGN,2026-01-16,4.074466,57.534246575342465,-0.1601643725806472
CMI,2026-01-16,-0.117111206,57.077625570776256,-0.1350510830836842
GS,2026-01-16,-0.1406312,57.077625570776256,-0.32949846026141616
MU,2026-01-16,-4.2772474,57.077625570776256,-0.36767703200664403
ELV,2026-01-16,9.436285,56.62100456621004,-1.031187417665191
TGT,2026-01-16,-3.7040174,56.62100456621004,-0.30281860269361194
OVV,2026-01-16,-3.8380027,56.62100456621004,0.029749504600738885
AAPL,2026-01-16,2.715087,56.62100456621004,-0.4244542715270052
AVGO,2026-01-16,-2.100718,56.16438356164384,0.05104518665805091
BLK,2026-01-16,-4.733193,56.16438356164384,-0.27804762632479396
EA,2026-01-16,4.650581,56.16438356164384,-0.4809891171494145
EXC,2026-01-16,2.0133376,56.16438356164384,-0.14613410383349157
BMY,2026-01-16,-6.1569033,55.96330275229357,0.04474105864490985
COF,2026-01-16,-4.6719074,55.70776255707762,-0.4188652818721148
INTU,2026-01-16,-8.053839,55.70776255707762,-0.21246043217147514
NDAQ,2026-01-16,2.881837,55.5045871559633,-0.45967066491814323
BR,2026-01-16,3.3360124,55.25114155251142,-0.434380715151623
VRTX,2026-01-16,-0.13979077,55.25114155251142,-0.24675186824366202
SBUX,2026-01-16,3.9194942,55.25114155251142,-0.2538551070445376
BKNG,2026-01-16,7.805109,55.25114155251142,-0.2773683221072776
CEG,2026-01-16,28.702759,55.072463768115945,-3.422788517667576
LH,2026-01-16,0.18601418,54.794520547945204,-0.12043941686704973
LLY,2026-01-16,-1.9973218,54.794520547945204,-1.3405121215894185
CPB,2026-01-16,5.572808,54.794520547945204,-0.9384459371368596
XOM,2026-01-16,-3.1936705,54.58715596330275,-1.3200394568812537
AFL,2026-01-16,0.9172797,54.337899543378995,-1.8050502080547033
AXON,2026-01-16,12.26182,54.337899543378995,-0.18229502731190594
CMG,2026-01-16,0.8981347,53.88127853881278,-0.11322580640323898
NXPI,2026-01-16,1.6305327,53.88127853881278,0.08162686764971239
LKQ,2026-01-16,3.528881,53.88127853881278,-0.3104184545846924
NTAP,2026-01-16,-11.892759,53.88127853881278,-0.13357741803950596
TRMB,2026-01-16,-5.840617,53.88127853881278,-0.0771558865932136
MSFT,2026-01-16,11.019241,53.42465753424658,-0.6222922705724168
STE,2026-01-16,1.8867493,53.42465753424658,0.01979634055382562
V,2026-01-16,-3.437537,53.42465753424658,-0.3087049505738295
UNH,2026-01-16,5.9652686,53.42465753424658,-0.2055433537413014
META,2026-01-16,0.5947113,53.42465753424658,-0.03683880493335456
PEP,2026-01-16,3.096521,53.42465753424658,-0.13925784130975916
