Date,Ticker,Type,Price
2024-12-09,MSFT,Close,443.9947204589844
2024-12-09,MSI,Close,465.17816162109375
2024-12-09,MSTR,Close,408.6700134277344
2024-12-09,MTD,Close,1276.97998046875
2024-12-09,MU,Close,102.0738296508789
2024-12-09,NDAQ,Close,79.14390563964844
2024-12-09,NEE,Close,71.39300537109375
2024-12-09,NEM,Close,39.549461364746094
2024-12-09,NFLX,Close,91.88700103759766
2024-12-09,NI,Close,35.54461669921875
2024-12-09,NOC,Close,471.80731201171875
2024-12-09,NOW,Close,1121.0999755859375
2024-12-09,NTAP,Close,119.52658081054688
2024-12-09,NTNX,Close,66.05000305175781
2024-12-09,NUE,Close,123.07447814941406
2024-12-09,NVDA,Close,134.21328735351562
2024-12-09,NXPI,Close,212.84088134765625
2024-12-09,OC,Close,187.76219177246094
2024-12-09,ODFL,Close,199.2559814453125
2024-12-09,OKE,Close,98.82850646972656
2024-12-09,ORCL,Close,171.68238830566406
2024-12-09,OVV,Close,39.324832916259766
2024-12-09,PANW,Close,196.55999755859375
2024-12-09,PEG,Close,83.52349090576172
2024-12-09,PEP,Close,151.89987182617188
2024-12-09,PFE,Close,23.854026794433594
2024-12-09,PG,Close,166.65689086914062
2024-12-09,PGR,Close,246.7611541748047
2024-12-09,PHM,Close,117.5017318725586
2024-12-09,PLD,Close,107.20915222167969
2024-12-09,PLTR,Close,76.06999969482422
2024-12-09,PNC,Close,194.3079376220703
2024-12-09,PNR,Close,106.08236694335938
2024-12-09,POOL,Close,357.0939025878906
2024-12-09,PPG,Close,120.97323608398438
2024-12-09,PRU,Close,114.53231811523438
2024-12-09,PSX,Close,118.2807388305664
2024-12-09,PTC,Close,198.67999267578125
2024-12-09,PWR,Close,337.1950378417969
2024-12-09,PYPL,Close,90.81006622314453
2024-12-09,QCOM,Close,155.0590362548828
2024-12-09,RCL,Close,242.32315063476562
2024-12-09,REGN,Close,727.2664794921875
2024-12-09,RJF,Close,158.4176788330078
2024-12-09,RTX,Close,115.59485626220703
2024-12-09,SBAC,Close,209.9459991455078
2024-12-09,SBUX,Close,94.90046691894531
2024-12-09,SCHW,Close,78.57762145996094
2024-12-09,SLB,Close,38.985748291015625
2024-12-09,SNOW,Close,167.6699981689453
2024-12-09,SNPS,Close,508.2799987792969
2024-12-09,SPGI,Close,502.0378723144531
2024-12-09,STE,Close,212.61276245117188
2024-12-09,SYF,Close,66.87088012695312
2024-12-09,SYK,Close,371.229248046875
2024-12-09,SYY,Close,77.82786560058594
2024-12-09,T,Close,22.616846084594727
2024-12-09,TAP,Close,58.87906265258789
2024-12-09,TEAM,Close,278.6499938964844
2024-12-09,TFC,Close,43.62422561645508
2024-12-09,TGT,Close,128.83612060546875
2024-12-09,TRGP,Close,180.61964416503906
2024-12-09,TRMB,Close,73.58999633789062
2024-12-09,TRV,Close,241.337646484375
2024-12-09,TSCO,Close,56.14371871948242
2024-12-09,TSLA,Close,436.2300109863281
2024-12-09,TT,Close,396.48834228515625
2024-12-09,TWLO,Close,112.9800033569336
2024-12-09,TXN,Close,185.56524658203125
2024-12-09,UBER,Close,59.93000030517578
2024-12-09,UNH,Close,506.0295104980469
2024-12-09,UNP,Close,228.18690490722656
2024-12-09,UPS,Close,120.47906494140625
2024-12-09,URI,Close,771.9097900390625
2024-12-09,USB,Close,48.834495544433594
2024-12-09,V,Close,312.5202941894531
2024-12-09,VEEV,Close,228.77999877929688
2024-12-09,VLTO,Close,103.7664566040039
2024-12-09,VRTX,Close,463.7300109863281
2024-12-09,VZ,Close,39.55656814575195
2024-12-09,WAT,Close,378.260009765625
2024-12-09,WBD,Close,12.069999694824219
2024-12-09,WDAY,Close,273.6700134277344
2024-12-09,WDC,Close,49.03337478637695
2024-12-09,WELL,Close,126.89389038085938
2024-12-09,WFC,Close,68.94188690185547
2024-12-09,WMB,Close,52.5892448425293
2024-12-09,WSM,Close,192.7010040283203
2024-12-09,WST,Close,328.9811096191406
2024-12-09,WTW,Close,307.9022521972656
2024-12-09,WY,Close,29.093673706054688
2024-12-09,XOM,Close,106.91602325439453
2024-12-09,XYL,Close,119.17587280273438
2024-12-09,ZBH,Close,105.73888397216797
2024-12-09,ZTS,Close,175.8432159423828
2024-12-16,A,Close,133.42770385742188
2024-12-16,AAPL,Close,253.34420776367188
2024-12-16,ABBV,Close,169.64813232421875
2024-12-16,ACGL,Close,90.98999786376953
2024-12-16,ADBE,Close,447.1700134277344
2024-12-16,ADI,Close,208.3441162109375
2024-12-16,ADP,Close,289.5038757324219
2024-12-16,ADSK,Close,298.1199951171875
2024-12-16,AFL,Close,100.4826889038086
2024-12-16,AIZ,Close,209.05831909179688
2024-12-16,AJG,Close,280.6429138183594
2024-12-16,AKAM,Close,95.88999938964844
2024-12-16,ALNY,Close,245.44000244140625
2024-12-16,AMAT,Close,161.9686737060547
2024-12-16,AMD,Close,119.20999908447266
2024-12-16,AMGN,Close,255.0771484375
2024-12-16,AMP,Close,525.3897705078125
2024-12-16,AMT,Close,177.6495819091797
