Date,Ticker,Type,Price
2024-06-17,ABBV,Close,161.8424835205078
2024-06-24,ABBV,Close,162.91580200195312
2024-07-01,ABBV,Close,158.8599853515625
2024-07-08,ABBV,Close,161.7379913330078
2024-07-15,ABBV,Close,163.67567443847656
2024-07-22,ABBV,Close,177.48715209960938
2024-07-29,ABBV,Close,181.4459991455078
2024-08-05,ABBV,Close,182.0594940185547
2024-08-12,ABBV,Close,185.86497497558594
2024-08-19,ABBV,Close,189.3637237548828
2024-08-26,ABBV,Close,188.1750946044922
2024-09-02,ABBV,Close,185.38568115234375
2024-09-09,ABBV,Close,186.16213989257812
2024-09-16,ABBV,Close,185.45278930664062
2024-09-23,ABBV,Close,186.71810913085938
2024-09-30,ABBV,Close,186.23880004882812
2024-10-07,ABBV,Close,186.14295959472656
2024-10-14,ABBV,Close,181.03382873535156
2024-10-21,ABBV,Close,181.50360107421875
2024-10-28,ABBV,Close,196.67318725585938
2024-11-04,ABBV,Close,192.76002502441406
2024-11-11,ABBV,Close,159.41592407226562
2024-11-18,ABBV,Close,170.9718475341797
2024-11-25,ABBV,Close,176.74981689453125
2024-12-02,ABBV,Close,170.23753356933594
2024-12-09,ABBV,Close,167.51280212402344
2024-12-16,ABBV,Close,169.64813232421875
2024-12-23,ABBV,Close,171.99603271484375
2024-12-30,ABBV,Close,175.0976104736328
2025-01-06,ABBV,Close,169.25198364257812
2025-01-13,ABBV,Close,165.76394653320312
2025-01-20,ABBV,Close,166.0982208251953
2025-01-27,ABBV,Close,179.3626708984375
2025-02-03,ABBV,Close,185.89736938476562
2025-02-10,ABBV,Close,188.11134338378906
2025-02-17,ABBV,Close,197.0941162109375
2025-02-24,ABBV,Close,203.8726348876953
2025-03-03,ABBV,Close,209.0028533935547
2025-03-10,ABBV,Close,206.5450439453125
2025-03-17,ABBV,Close,204.8284454345703
2025-03-24,ABBV,Close,200.22491455078125
2025-03-31,ABBV,Close,182.34718322753906
2025-04-07,ABBV,Close,170.7310333251953
2025-04-14,ABBV,Close,168.7218475341797
2025-04-21,ABBV,Close,183.14642333984375
2025-04-28,ABBV,Close,195.36209106445312
2025-05-05,ABBV,Close,181.70928955078125
2025-05-12,ABBV,Close,181.1383819580078
2025-05-19,ABBV,Close,180.39027404785156
2025-05-26,ABBV,Close,183.19564819335938
2025-06-02,ABBV,Close,186.85739135742188
2025-06-09,ABBV,Close,188.08782958984375
2025-06-16,ABBV,Close,182.39833068847656
2025-06-23,ABBV,Close,179.45513916015625
2025-06-30,ABBV,Close,186.31600952148438
2025-07-07,ABBV,Close,189.43637084960938
2025-07-14,ABBV,Close,186.2963104248047
2025-07-21,ABBV,Close,188.91807556152344
2025-07-28,ABBV,Close,193.8227081298828
2025-08-04,ABBV,Close,196.63246154785156
2025-08-11,ABBV,Close,205.2106170654297
2025-08-18,ABBV,Close,209.09263610839844
2025-08-25,ABBV,Close,208.89405822753906
2023-10-02,ACGL,Close,78.14484405517578
2023-10-09,ACGL,Close,80.02762603759766
2023-10-16,ACGL,Close,78.69636535644531
2023-10-23,ACGL,Close,77.36510467529297
2023-10-30,ACGL,Close,81.34937286376953
2023-11-06,ACGL,Close,81.72972869873047
2023-11-13,ACGL,Close,79.4951171875
2023-11-20,ACGL,Close,82.34780883789062
2023-11-27,ACGL,Close,78.57274627685547
2023-12-04,ACGL,Close,75.40625762939453
2023-12-11,ACGL,Close,69.81497192382812
2023-12-18,ACGL,Close,70.21434020996094
2023-12-25,ACGL,Close,70.62322998046875
2024-01-01,ACGL,Close,73.03851318359375
2024-01-08,ACGL,Close,73.87530517578125
2024-01-15,ACGL,Close,76.9086685180664
2024-01-22,ACGL,Close,75.97679138183594
2024-01-29,ACGL,Close,79.20984649658203
2024-02-05,ACGL,Close,79.36199188232422
2024-02-12,ACGL,Close,81.88187408447266
2024-02-19,ACGL,Close,83.00393676757812
2024-02-26,ACGL,Close,82.88982391357422
2024-03-04,ACGL,Close,83.30821990966797
2024-03-11,ACGL,Close,87.3685531616211
2024-03-18,ACGL,Close,86.22747802734375
2024-03-25,ACGL,Close,87.90106201171875
